suburb,LAT,LON
Glenfield,-33.97099,150.89301
Jordan Springs,-33.72309,150.73341
Bateau Bay,-33.38486,151.47128
St Marys,-33.75951,150.77085
Belmore,-33.91942,151.08774
Harris Park,-33.82233,151.01207
East Hills,-33.96119,150.98818
North Sydney,-33.83662,151.20958
Claremont Meadows,-33.7743,150.75296
Middle Cove,-33.79242,151.21235
Caringbah South,-34.05314,151.1205
Arncliffe,-33.93868,151.14572
Greenacre,-33.8989,151.05729
Manly Vale,-33.78215,151.26601
Clareville,-33.63655,151.31075
Edmondson Park,-33.96407,150.85104
Stanmore,-33.8937,151.16537
Neutral Bay,-33.83489,151.21821
South Coogee,-33.93221,151.25393
Breakfast Point,-33.84282,151.11092
Toongabbie,-33.79196,150.9468
Hurlstone Park,-33.91005,151.12854
Hammondville,-33.95082,150.95833
Waterloo,-33.90035,151.20733
South Turramurra,-33.7525,151.10676
Rhodes,-33.83004,151.0887
Bexley North,-33.94238,151.11532
Campsie,-33.91457,151.10339
Wollstonecraft,-33.83315,151.19595
Berala,-33.87461,151.03345
Kensington,-33.91291,151.22388
Charmhaven,-33.2261,151.49301
Engadine,-34.05778,151.01793
Lane Cove,-33.81806,151.16504
Melrose Park,-33.81322,151.07389
Tennyson Point,-33.83175,151.11687
St Ives,-33.72491,151.16978
Wyongah,-33.27022,151.48554
Lavender Bay,-33.84388,151.20761
Rosebery,-33.91857,151.20485
Sydney Olympic Park,-33.83935,151.06654
Pendle Hill,-33.80402,150.95535
Lapstone,-33.77461,150.63551
Balmain,-33.85833,151.18067
Bexley,-33.95213,151.1183
Ropes Crossing,-33.72757,150.77848
Narwee,-33.9472,151.06843
Kings Park,-33.7437,150.9059
Bellevue Hill,-33.87976,151.25633
Turramurra,-33.73444,151.12793
Lake Munmorah,-33.19331,151.5733
Marayong,-33.74925,150.89081
Gosford,-33.42389,151.34058
Stanhope Gardens,-33.71551,150.92733
Bangor,-34.01671,151.03226
Minchinbury,-33.78664,150.82899
Sydney,-33.86794,151.20998
Chatswood,-33.7958,151.18087
Redfern,-33.89313,151.20653
Chippendale,-33.88626,151.19999
Concord West,-33.8435,151.092
Wahroonga,-33.72353,151.11725
Prospect,-33.81244,150.90067
Jannali,-34.01586,151.06319
Yagoona,-33.90422,151.02148
Koolewong,-33.46901,151.31642
Enmore,-33.90021,151.16983
Thornleigh,-33.72225,151.08107
Kangaroo Point,-34.0026,151.09547
Penrith,-33.74515,150.68955
Pyrmont,-33.86923,151.19249
Kogarah,-33.96814,151.13537
Kingsgrove,-33.93971,151.09956
Strathfield South,-33.89656,151.0793
Caringbah,-34.03534,151.12423
West Ryde,-33.8063,151.08417
Glenwood,-33.73755,150.93545
Woy Woy,-33.50285,151.29727
Long Point,-34.0115,150.89643
West Pennant Hills,-33.74763,151.03335
Cherrybrook,-33.72178,151.04593
Berowra Heights,-33.60156,151.136
Elderslie,-34.0577,150.71508
Granville,-33.83592,151.00745
Condell Park,-33.92599,151.00978
Little Bay,-33.98343,151.24666
Cranebrook,-33.70698,150.70828
North Narrabeen,-33.70323,151.29673
Monterey,-33.97235,151.14822
North Epping,-33.75872,151.09416
Newtown,-33.89994,151.18038
Springwood,-33.69209,150.57478
Wyoming,-33.40534,151.3625
Oakhurst,-33.73724,150.83862
Northmead,-33.78379,150.99349
Bardwell Valley,-33.93774,151.13064
Silverwater,-33.83414,151.04521
Auburn,-33.85787,151.02827
Guildford,-33.85861,150.98884
St Ives Chase,-33.70304,151.16514
Normanhurst,-33.72338,151.09579
Fairfield East,-33.87535,150.97324
Fairfield,-33.86904,150.95102
Menai,-34.0025,151.00275
Gorokan,-33.25377,151.50567
Vaucluse,-33.85577,151.27607
Oatlands,-33.79508,151.02527
St Johns Park,-33.88259,150.90215
Riverwood,-33.9451,151.05302
Westleigh,-33.70912,151.07001
Moorebank,-33.94248,150.94138
Gymea,-34.03656,151.0841
Newport,-33.65717,151.31571
Werrington,-33.75876,150.75061
Dulwich Hill,-33.9047,151.13884
Potts Hill,-33.89271,151.03275
Camden,-34.05877,150.69373
Carramar,-33.88405,150.96381
Erskine Park,-33.80912,150.79558
Cobbitty,-33.99798,150.67997
Rushcutters Bay,-33.87457,151.22752
Greenfield Park,-33.87537,150.89276
Blue Bay,-33.35427,151.50069
Ingleside,-33.68951,151.25697
Warriewood,-33.68907,151.29762
Beaumont Hills,-33.69788,150.94161
The Entrance,-33.34383,151.4961
Chatswood West,-33.79604,151.16039
Mount Vernon,-33.86062,150.80788
Mount Lewis,-33.91572,151.05024
Canley Heights,-33.88198,150.9227
Green Point,-33.45321,151.38285
Winston Hills,-33.77692,150.98008
Erina,-33.43758,151.38853
Kings Langley,-33.75075,150.93583
Clovelly,-33.91153,151.26289
Harrington Park,-34.02561,150.73523
Illawong,-33.99893,151.04011
Noraville,-33.27116,151.55658
Horningsea Park,-33.94614,150.84429
Roselands,-33.93329,151.07526
Mortdale,-33.96908,151.07198
Valley Heights,-33.71038,150.58383
Wolli Creek,-33.93166,151.15389
Ashfield,-33.88947,151.12753
Woolloomooloo,-33.8704,151.21848
Port Hacking,-34.06694,151.1244
Cremorne,-33.82708,151.22512
Hurstville,-33.96268,151.1006
Lilli Pilli,-34.06716,151.11552
Barangaroo,-33.86055,151.20159
Hillsdale,-33.95297,151.22753
Gladesville,-33.82789,151.12645
Mount Riverview,-33.72773,150.63789
Balgowlah,-33.79453,151.26125
Miranda,-34.03262,151.10521
Allambie Heights,-33.7702,151.24964
Palm Beach,-33.59895,151.32589
Denistone West,-33.80082,151.07693
Padstow,-33.95023,151.03068
Holroyd,-33.83016,150.99863
Maroubra,-33.94543,151.24625
Minto,-34.03164,150.84989
Blakehurst,-33.99061,151.10947
Macquarie Fields,-33.99111,150.8917
Allawah,-33.97295,151.11424
Abbotsford,-33.85052,151.12987
Green Valley,-33.90263,150.86967
South Granville,-33.85869,151.01088
Sylvania,-34.01392,151.10109
Beverley Park,-33.97729,151.13054
Saratoga,-33.47576,151.3525
Glebe,-33.87781,151.18626
Hawkesbury Heights,-33.67019,150.6452
Chester Hill,-33.88004,150.99733
Annandale,-33.87982,151.16973
Pymble,-33.74511,151.1397
Darlington,-33.89089,151.19334
Wamberal,-33.41339,151.43838
Faulconbridge,-33.68513,150.55384
Mortlake,-33.84052,151.1065
Regentville,-33.77156,150.66404
Surry Hills,-33.88447,151.21001
Seven Hills,-33.77743,150.94272
Collaroy,-33.73559,151.30351
Matraville,-33.96403,151.23342
Blue Haven,-33.21142,151.50349
Homebush,-33.86058,151.07927
Hinchinbrook,-33.91752,150.86179
Kellyville Ridge,-33.70376,150.92052
St Andrews,-34.02451,150.83058
Bilgola Beach,-33.64346,151.32788
Sutherland,-34.03269,151.0552
North Gosford,-33.41886,151.35564
Vineyard,-33.64161,150.85208
Kirkham,-34.03394,150.70955
Richmond,-33.60517,150.75869
Lalor Park,-33.76065,150.93136
Copacabana,-33.48638,151.43476
Carlingford,-33.77523,151.0454
Frenchs Forest,-33.75137,151.22303
Wentworth Point,-33.82839,151.07771
Grasmere,-34.05634,150.6729
Bronte,-33.90426,151.26358
Eagle Vale,-34.03797,150.81128
Beacon Hill,-33.75228,151.25889
Pearl Beach,-33.54226,151.30629
Glenbrook,-33.76592,150.62573
Ourimbah,-33.31517,151.32611
